id	item_group_id	c:style_id:string	brand	title	color	size	image_link	additional_image_link	c:stock_level:integer	c:discount_retail_price_NOK:integer	c:retail_price_NOK:integer	c:discount_retail_price_DKK:integer	c:retail_price_DKK:integer	c:discount_retail_price_SEK:integer	c:retail_price_SEK:integer	c:discount_retail_price_EUR:integer	c:retail_price_EUR:integer	c:discount_retail_price_PLN:integer	c:retail_price_PLN:integer	c:discount_retail_price_GBP:integer	c:retail_price_GBP:integer	c:discount_retail_price_CNY:integer	c:retail_price_CNY:integer	material	gtin	c:title_EN:string	product_type	gender	c:season_tag:string	description	c:description_DA:string	c:description_SV:string	c:description_NO:string	c:description_NL:string	c:description_EN:string	c:description_DE:string	c:description_PL:string	c:description_FI:string	c:description_ES:string	c:description_FR:string	c:description_IT:string	washing	hs_code	madein
8903131464023	8903131464023	30H0S1SL1T-222	"Michael Kors"	"SM chain shoulder bag"	Brown	"One Size"	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/SM_chain_shoulder_bag_241555.jpg?v=1709145231	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/SM_chain_shoulder_bag_241556.jpg?v=1709145232,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/SM_chain_shoulder_bag_241557.jpg?v=1709145235,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/SM_chain_shoulder_bag_241558.jpg?v=1709145237	4	459815	459815	308838	308838	454253	454253	41321	41321	173336	173336	34280	34280	307022	307022	"{""en_EN.utf8"":""Upper composition: Sheep Leather 100%. ""}"	196163689395	"SM chain shoulder bag"	"Bags > Shoulder Bags"	F	SS23	"Product DetailsStyle: CasualType: Shoulder BagColour: BrownCompositionOuter: Sheep Leather 100%Product Code: 30H0S1SL1T"	"Product DetailsStyle: CasualType: Shoulder BagColour: BrownCompositionOuter: Sheep Leather 100%Product Code: 30H0S1SL1T"	"Product DetailsStyle: CasualType: Shoulder BagColour: BrownCompositionOuter: Sheep Leather 100%Product Code: 30H0S1SL1T"	"Product DetailsStyle: CasualType: Shoulder BagColour: BrownCompositionOuter: Sheep Leather 100%Product Code: 30H0S1SL1T"	"Product DetailsStyle: CasualType: Shoulder BagColour: BrownCompositionOuter: Sheep Leather 100%Product Code: 30H0S1SL1T"	"Product DetailsStyle: CasualType: Shoulder BagColour: BrownCompositionOuter: Sheep Leather 100%Product Code: 30H0S1SL1T"	"Product DetailsStyle: CasualType: Shoulder BagColour: BrownCompositionOuter: Sheep Leather 100%Product Code: 30H0S1SL1T"	"Product DetailsStyle: CasualType: Shoulder BagColour: BrownCompositionOuter: Sheep Leather 100%Product Code: 30H0S1SL1T"	"Product DetailsStyle: CasualType: Shoulder BagColour: BrownCompositionOuter: Sheep Leather 100%Product Code: 30H0S1SL1T"	"Product DetailsStyle: CasualType: Shoulder BagColour: BrownCompositionOuter: Sheep Leather 100%Product Code: 30H0S1SL1T"	"Product DetailsStyle: CasualType: Shoulder BagColour: BrownCompositionOuter: Sheep Leather 100%Product Code: 30H0S1SL1T"	"Product DetailsStyle: CasualType: Shoulder BagColour: BrownCompositionOuter: Sheep Leather 100%Product Code: 30H0S1SL1T"	"{""en_EN.utf8"":""Wash with care. See product labels for further instructions""}"	4202.21.00.90	VN
47762944622935	8904030814551	BEW004701500001-M802	Dsquared2	"Plaque Belts"	Black	95	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34469.jpg?v=1709217800	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34470.jpg?v=1709217802	0	220706	367843	148239	247065	218036	363394	19834	33056	83199	138666	16454	27423	245612	245612	"{""en_EN.utf8"":""Upper composition: Leather. ""}"		"Plaque Belts"	"Accessories > Belts"	F	SS21	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"{""en_EN.utf8"":""Wash with care. See product labels for further instructions""}"	4203.30.00.90	IT
47762944655703	8904030814551	BEW004701500001-M802	Dsquared2	"Plaque Belts"	Black	"75 cm"	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34469.jpg?v=1709217800	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34470.jpg?v=1709217802	3	220706	367843	148239	247065	218036	363394	19834	33056	83199	138666	16454	27423	245612	245612	"{""en_EN.utf8"":""Upper composition: Leather. ""}"	8058097862003	"Plaque Belts"	"Accessories > Belts"	F	SS21	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"{""en_EN.utf8"":""Wash with care. See product labels for further instructions""}"	4203.30.00.90	IT
47762944688471	8904030814551	BEW004701500001-M802	Dsquared2	"Plaque Belts"	Black	"70 cm"	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34469.jpg?v=1709217800	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34470.jpg?v=1709217802	4	220706	367843	148239	247065	218036	363394	19834	33056	83199	138666	16454	27423	245612	245612	"{""en_EN.utf8"":""Upper composition: Leather. ""}"	8058097861198	"Plaque Belts"	"Accessories > Belts"	F	SS21	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"{""en_EN.utf8"":""Wash with care. See product labels for further instructions""}"	4203.30.00.90	IT
47762944721239	8904030814551	BEW004701500001-M802	Dsquared2	"Plaque Belts"	Black	"85 cm"	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34469.jpg?v=1709217800	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34470.jpg?v=1709217802	0	220706	367843	148239	247065	218036	363394	19834	33056	83199	138666	16454	27423	245612	245612	"{""en_EN.utf8"":""Upper composition: Leather. ""}"	8058097838190	"Plaque Belts"	"Accessories > Belts"	F	SS21	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"{""en_EN.utf8"":""Wash with care. See product labels for further instructions""}"	4203.30.00.90	IT
47762944754007	8904030814551	BEW004701500001-M802	Dsquared2	"Plaque Belts"	Black	"80 cm"	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34469.jpg?v=1709217800	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34470.jpg?v=1709217802	1	220706	367843	148239	247065	218036	363394	19834	33056	83199	138666	16454	27423	245612	245612	"{""en_EN.utf8"":""Upper composition: Leather. ""}"	8058097862027	"Plaque Belts"	"Accessories > Belts"	F	SS21	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"{""en_EN.utf8"":""Wash with care. See product labels for further instructions""}"	4203.30.00.90	IT
47762944786775	8904030814551	BEW004701500001-M802	Dsquared2	"Plaque Belts"	Black	"90 cm"	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34469.jpg?v=1709217800	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Plaque_Belts_34470.jpg?v=1709217802	2	220706	367843	148239	247065	218036	363394	19834	33056	83199	138666	16454	27423	245612	245612	"{""en_EN.utf8"":""Upper composition: Leather. ""}"	8058097862041	"Plaque Belts"	"Accessories > Belts"	F	SS21	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"Product DetailsType: BeltColour: BlackCompositionOuter: LeatherProduct Code: BEW004701500001"	"{""en_EN.utf8"":""Wash with care. See product labels for further instructions""}"	4203.30.00.90	IT
8904213430615	8904213430615	FD55AC891F4111	KENZO	Cap	Beige	"One Size"	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Cap_240817.jpg?v=1709224646	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Cap_240818.jpg?v=1709224648	6	229900	229900	154414	154414	227120	227120	20660	20660	86665	86665	17139	17139	153506	153506	"{""en_EN.utf8"":""Upper composition: Cotton 100%. ""}"	3612230426665	Cap	"Accessories > Hats > Hats"	M	SS23	"Product DetailsStyle: CasualType: HatColour: BeigeCompositionOuter: Cotton 100%Product Code: FD55AC891F41"	"Product DetailsStyle: CasualType: HatColour: BeigeCompositionOuter: Cotton 100%Product Code: FD55AC891F41"	"Product DetailsStyle: CasualType: HatColour: BeigeCompositionOuter: Cotton 100%Product Code: FD55AC891F41"	"Product DetailsStyle: CasualType: HatColour: BeigeCompositionOuter: Cotton 100%Product Code: FD55AC891F41"	"Product DetailsStyle: CasualType: HatColour: BeigeCompositionOuter: Cotton 100%Product Code: FD55AC891F41"	"Product DetailsStyle: CasualType: HatColour: BeigeCompositionOuter: Cotton 100%Product Code: FD55AC891F41"	"Product DetailsStyle: CasualType: HatColour: BeigeCompositionOuter: Cotton 100%Product Code: FD55AC891F41"	"Product DetailsStyle: CasualType: HatColour: BeigeCompositionOuter: Cotton 100%Product Code: FD55AC891F41"	"Product DetailsStyle: CasualType: HatColour: BeigeCompositionOuter: Cotton 100%Product Code: FD55AC891F41"	"Product DetailsStyle: CasualType: HatColour: BeigeCompositionOuter: Cotton 100%Product Code: FD55AC891F41"	"Product DetailsStyle: CasualType: HatColour: BeigeCompositionOuter: Cotton 100%Product Code: FD55AC891F41"	"Product DetailsStyle: CasualType: HatColour: BeigeCompositionOuter: Cotton 100%Product Code: FD55AC891F41"	"{""en_EN.utf8"":""Wash with care. See product labels for further instructions""}"	6505.00.30.00	CN
47764055425367	8904364294487	D7P404220-001	"Dsquared2 Underwear"	Bathrobe	Black	"M IT"	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Bathrobe_286265.jpg?v=1709231477	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Bathrobe_286266.jpg?v=1709231479	0	365557	609261	245529	409215	361135	601891	32851	54751	137804	229673	27253	45421	406808	406808	"{""en_EN.utf8"":""Upper composition: Cotton 100%. ""}"	8032674563101	Bathrobe	"Nightwear & Lounge > Robes"	M	AW22	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"{""en_EN.utf8"":""Wash with care. See product labels for further instructions""}"	6207.91.00.11	IT
47764055458135	8904364294487	D7P404220-001	"Dsquared2 Underwear"	Bathrobe	Black	"S IT"	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Bathrobe_286265.jpg?v=1709231477	https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Bathrobe_286266.jpg?v=1709231479	0	365557	609261	245529	409215	361135	601891	32851	54751	137804	229673	27253	45421	406808	406808	"{""en_EN.utf8"":""Upper composition: Cotton 100%. ""}"	8032674563095	Bathrobe	"Nightwear & Lounge > Robes"	M	AW22	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"Product DetailsStyle: CasualType: RobeColour: BlackCompositionOuter: Cotton 100%Product Code: D7P404220"	"{""en_EN.utf8"":""Wash with care. See product labels for further instructions""}"	6207.91.00.11	IT
